id,site_name,created_at
"748d425c-1aa4-4a54-dcab-f0d3e70aeefd","Sage & Thyme","2025-04-10T11:56:38.951Z"
"b1a2293a-b632-4f02-db15-9e812988263a","City Kitchen","2025-04-11T02:21:12.024Z"
"9a62d2c1-2751-4895-2652-169b7fee364d","Corner Deli","2025-04-11T02:52:49.573Z"
"48bfffed-9f10-4490-aa58-d986ac2233da","Green Leaf Bistro","2025-04-11T03:21:31.320Z"
"0bb90d4c-4ec2-49e0-f813-df02ee90d29c","The Brass Tap","2025-04-11T23:27:57.363Z"
"5dce2f49-6e4e-4777-6799-5a80d0aa8bbd","Harbor Grill","2025-04-12T12:21:55.971Z"
"5f4dcf7c-c704-4384-f724-6cf2dab40009","Golden Plate","2025-04-15T21:46:02.839Z"
"1aa1f87f-8060-4faf-8f03-298a275d462a","Harbor Grill","2025-04-16T10:20:00.072Z"
"d6943821-1c70-475d-c18e-9d46edeb080f","Harbor Grill","2025-04-17T01:42:07.541Z"
"d4c31de2-a835-4aa5-c7dc-3eca5d66c049","Firebird Pizza","2025-04-17T01:49:21.025Z"
"aac38646-0782-4056-90b9-caa8b63914f0","Green Leaf Bistro","2025-04-17T04:16:46.102Z"
"f95c493a-835f-4b0d-5ebb-6a6110c2b883","Sunrise Bistro","2025-04-18T05:57:15.236Z"
"c626c72e-cf97-4959-3ec7-c45d2f87205a","The Brass Tap","2025-04-18T13:01:57.402Z"
"e34aac9c-fbf9-44b3-180a-add5b37b6e44","Harbor Grill","2025-04-18T22:13:56.932Z"
"9f05cff2-5b0b-44b4-5749-1715bdc3325d","Fresh & Co","2025-04-19T08:17:58.097Z"
"4c97e38a-fe86-44f4-801a-fef8044bb190","The Rustic Fork","2025-04-20T18:51:23.750Z"
"3570272e-1970-42d7-4650-f6af6401d8e0","Green Leaf Bistro","2025-04-21T03:04:24.036Z"
"630cd9b1-2724-46b7-c4c5-18365145d52c","Cloud Nine Cafe","2025-04-21T18:25:12.465Z"
"f15195d5-b417-4a05-4e37-eea5911ed993","The Brass Tap","2025-04-21T18:40:44.260Z"
"3934ceb4-22ab-4c3d-00dd-9c65b33e15c7","Green Leaf Bistro","2025-04-23T02:33:06.709Z"
"2b292e51-6704-4ee1-a661-1880ebe28c2c","Golden Plate","2025-04-24T05:28:24.746Z"
