id,trial_name,created_at
"6580915d-1bfd-4c07-1f76-c9afca02a4a1","Firebird Pizza","2025-05-08T18:14:02.229Z"
"e576b945-c37e-4a89-9321-152a6119df3b","Mountain View Cafe","2026-03-24T16:13:20.596Z"
"cae7bbd7-43b3-45c2-4c21-5263747360af","City Kitchen","2025-05-11T01:10:12.825Z"
"44f3568e-cb75-4436-1521-89e772036fbd","Sunrise Bistro","2026-02-23T02:22:41.412Z"
"562217cd-702f-4f06-6b15-35271013a2b4","The Brass Tap","2025-12-26T14:29:52.509Z"
"8a73db84-82f9-485f-3a8f-68f98cc7a518","The Brass Tap","2025-08-12T01:28:33.872Z"
"38524799-5e25-49c9-6b4d-9a2119654d9c","Sage & Thyme","2025-09-06T17:42:10.001Z"
"01c611a3-b89a-4d9e-9469-4f5e8641ac08","Blue Ocean Sushi","2025-08-31T05:03:03.016Z"
"59f87061-498d-4943-4ef1-eb0101cd7bb3","Sage & Thyme","2025-05-23T00:15:52.782Z"
"62058ad3-2a87-4921-45f0-623ef86ca894","Luna Restaurant","2026-03-16T23:18:42.878Z"
"01e29e1d-573d-4306-1e83-0bc3e7f680c6","The Local Table","2025-05-03T00:11:38.578Z"
"273ebca9-cde2-4a80-60ae-d67b7beac43b","Golden Plate","2025-08-01T22:10:18.261Z"
"e2381ff3-c728-4a22-9fd4-9437a32fb081","The Brass Tap","2026-02-13T09:14:57.732Z"
"59c4cd56-bd67-4835-1cb1-daff2c64b2f9","Corner Deli","2026-02-10T09:28:26.795Z"
"f2964107-9787-4e2c-9c82-3712a491b6ef","Luna Restaurant","2026-02-23T13:09:44.545Z"
"31aecb4d-6cb0-4de0-91e8-21456abfb384","Corner Deli","2025-11-30T01:30:10.589Z"
"781a759b-0866-434d-568d-cfd0c60ec5bc","Stone Oven Bakery","2025-05-05T04:54:13.700Z"
"e46342a9-6100-4296-14b2-8a14e6ac5efa","City Kitchen","2026-02-01T09:12:27.880Z"
"b961a30f-1540-4783-5004-c49887a7d78c","Fresh & Co","2025-06-27T15:20:23.888Z"
"7ad8f60f-4733-4624-3e25-361360524baf","Maple Street Diner","2025-09-26T16:28:53.306Z"
"837ee498-3e69-45ee-c63c-8e103f859ecc","Fresh & Co","2025-09-19T14:45:08.414Z"
"14bcd465-3c77-4d3c-114d-bc7eeb889fe9","Red Pepper Thai","2025-12-09T14:06:24.381Z"
"d4d0ad39-70bb-40a8-9888-e1726f8d816a","Firebird Pizza","2025-08-04T12:57:14.025Z"
"5947d8af-5b07-410b-e4f3-b95c41cf54cc","Sage & Thyme","2025-07-18T05:00:55.261Z"
"5a98b580-3408-4b38-6085-c9de1b111505","Green Leaf Bistro","2026-02-11T20:46:31.691Z"
"b9be3723-a942-461f-770e-d10ec813df85","Luna Restaurant","2025-06-21T21:18:39.746Z"
"b2c4a2e2-4c2a-4abd-8426-82e20e3b45b8","Luna Restaurant","2026-03-03T15:59:43.088Z"
"25401363-085e-48b5-ca8c-9f4dc5d04058","Fresh & Co","2026-01-19T05:15:07.590Z"
"1c100eb4-f259-4dc0-442e-bd5dd3355168","Fresh & Co","2025-06-05T20:19:15.981Z"
"7f357b34-9920-438f-2576-ee7925f50de9","Golden Plate","2025-09-28T12:16:14.536Z"
"94b3a4cb-fbb0-4e15-235e-b90a0d074743","Luna Restaurant","2025-05-18T13:39:25.765Z"
"f6b8acd3-100c-477b-6fa9-67c85f93d852","City Kitchen","2025-05-31T05:08:51.003Z"
"f1d8a552-057e-472a-df78-a08f1041fce8","Sunrise Bistro","2025-12-14T12:37:19.769Z"
"12cb8949-a64d-4bab-7328-c7f10c526727","Stone Oven Bakery","2026-03-10T09:17:25.172Z"
"00f47848-96ac-4793-a999-fcccbcc73b76","Firebird Pizza","2025-12-09T20:36:49.546Z"
"52f0c38d-692b-4876-cf5a-2e65d66d82bf","Mountain View Cafe","2025-09-03T07:14:06.684Z"
"0cfafc00-c642-49f9-3547-9afa2cdf87c8","Fresh & Co","2025-06-29T07:17:46.152Z"
"6f58ece7-20da-4cc2-f877-c8c47f340849","Sunrise Bistro","2025-06-29T16:10:38.651Z"
"7a40153a-5938-438e-c8c7-545717a91a30","Corner Deli","2025-10-09T04:56:33.541Z"
"697ef986-8cdb-4087-f3f7-ac046239028a","City Kitchen","2026-01-27T02:04:06.865Z"
"738e79a6-b7b2-42cf-1a20-d609d9461f3f","Stone Oven Bakery","2025-08-02T10:57:14.763Z"
"5a7ec1e1-312e-4d80-b04a-1990d1182cc0","Oak & Vine","2025-08-31T02:55:30.735Z"
"317669df-bff2-4247-d1fd-6ff56d427012","Oak & Vine","2025-10-20T00:12:30.295Z"
"46ff95a0-fb5e-4484-ce8c-660d04862fa1","Green Leaf Bistro","2025-07-04T23:10:47.865Z"
"fd4c94da-9d96-4997-637c-6a6d2c883f81","Oak & Vine","2025-12-25T02:44:03.394Z"
"9697f91a-d13a-4785-21d5-5713f5d1031f","Green Leaf Bistro","2026-03-29T12:06:28.886Z"
"d1327efe-a899-4f8d-f994-ba09f9b0fec0","Sunrise Bistro","2025-12-28T19:37:52.052Z"
"ba001b7b-e812-4f6f-a83f-f251161bca76","City Kitchen","2025-04-29T20:54:15.342Z"
"62665535-9b5f-4659-3c34-e303e0219f53","Luna Restaurant","2025-11-16T19:58:37.245Z"
"3a45f9cb-187a-4ef3-22b5-ac066bac8718","Mountain View Cafe","2025-06-05T06:12:30.071Z"
"3986e05c-9889-4411-aad5-90565a4fa5b3","Blue Ocean Sushi","2025-04-24T12:19:29.731Z"
"72478b74-1990-4809-974b-6e4ff77c7e93","Fresh & Co","2025-04-28T04:09:16.745Z"
"f2b756e6-9a74-40d8-96ff-85cd511dc76d","Mountain View Cafe","2025-10-31T19:06:09.902Z"
"5b2ab0bb-4b6b-4792-5d9d-a7f01896603d","Red Pepper Thai","2025-04-19T12:29:30.359Z"
"e30bb1a9-78e3-4b74-0293-3f0418206e01","The Rustic Fork","2026-03-29T00:47:30.490Z"
"41a13602-0ec9-4fc0-8a83-b819463b507a","Golden Plate","2025-09-28T18:16:03.946Z"
"0c0fd8bd-3122-4ac6-b60a-dede0399d7e3","Sage & Thyme","2025-10-15T20:48:15.698Z"
"4709f95b-e5ef-4e3e-3b8d-d3085f6387fb","Golden Plate","2025-08-03T16:51:09.070Z"
"3a0b9058-863b-46ef-1f2f-4958e3a55ba1","Firebird Pizza","2025-04-13T23:03:50.358Z"
"eb6e50f0-862f-412b-4846-b1eb7817bb4b","Sunrise Bistro","2025-08-16T09:33:19.837Z"
"87101564-224d-4036-963a-e970349ff6d7","The Rustic Fork","2026-03-12T16:56:32.517Z"
"51fa879b-a6d5-4040-1514-d1d92559e917","Maple Street Diner","2025-08-23T00:30:03.151Z"
