id,site_name,created_at
"75dfc2d8-4572-4cb3-8f16-a105c07e229e","Green Leaf Bistro","2026-02-11T17:31:33.559Z"
"86a8f9b7-3404-448b-2bfd-6686f2e8ac8d","Sage & Thyme","2025-08-18T12:57:10.121Z"
"e981d4eb-11a9-45a8-57f5-dffffe0ea40c","Firebird Pizza","2025-04-27T05:49:26.155Z"
"e3f58b9a-af8d-4919-2d99-012429388c08","City Kitchen","2025-10-09T16:15:33.302Z"
"2daa31b1-1653-4a32-e23f-8c51cbea877b","The Local Table","2026-03-15T01:42:29.146Z"
"c63237ad-aec9-4939-cac7-90ecc74f7024","Red Pepper Thai","2025-10-31T08:17:11.251Z"
"88ab0d0b-fc45-483c-6fd9-ebaa4b84bb22","Fresh & Co","2026-02-21T19:30:21.321Z"
"02891862-82b7-4552-d943-9f1838c6127f","The Rustic Fork","2025-07-25T07:37:28.855Z"
"2569480c-585c-4e9b-a242-e77f65562acd","Red Pepper Thai","2025-05-29T16:23:21.766Z"
"9f7a36eb-99c9-4993-de9e-b2bd26fdf4e2","Red Pepper Thai","2025-12-31T06:20:25.512Z"
"9a3d4097-c19c-45f3-87e4-426249a4b1db","Red Pepper Thai","2026-03-25T20:57:08.084Z"
"371e1663-cfee-43bb-acdb-3905b11b8013","The Brass Tap","2026-02-07T08:26:47.373Z"
"0df45f38-2db3-43d4-034b-0eb9c95a1029","Corner Deli","2025-12-24T22:44:23.308Z"
"7d79bb24-dbb6-4305-822e-ca406ffc31ed","The Rustic Fork","2026-01-18T08:20:09.003Z"
"ed829a1d-5db8-4144-9509-fcbd084ecacf","Harbor Grill","2025-05-11T12:35:56.032Z"
"a8810fdb-a6d1-4623-bacc-1f8beb164ae8","Oak & Vine","2026-03-18T01:11:30.852Z"
"a9c5facb-2e5d-41ef-b6a7-41c7ba65de41","The Rustic Fork","2026-01-24T01:01:36.413Z"
"8d3e7b7e-c08d-4af7-dda9-e5e935ecd37d","Luna Restaurant","2025-05-08T15:01:12.615Z"
"e77c28ff-b7da-4312-56f1-46f91e498c21","Harbor Grill","2025-08-18T12:29:40.533Z"
"14483dbf-d6db-4761-5f23-d2f381e4ae23","Red Pepper Thai","2025-05-30T03:48:26.478Z"
"584894c9-987e-4677-c8e4-2678bd36ccf2","Sage & Thyme","2025-12-13T16:54:07.864Z"
"74bf8575-1986-498e-4107-0bb2389f7c3c","Blue Ocean Sushi","2025-07-04T20:07:42.411Z"
"7f12242a-839a-483d-6119-2af2b9ee8bd0","Harbor Grill","2025-11-28T14:39:54.065Z"
"1d774994-7cc2-42e0-e9d2-bd0ef39d07ee","City Kitchen","2025-07-22T22:23:52.265Z"
"b1255576-10c6-48ba-b17c-1b1beb1192dd","Maple Street Diner","2026-01-31T03:25:54.111Z"
"7f740d81-39ad-4d19-45d7-3cfd0822a196","Harbor Grill","2025-08-20T12:37:37.317Z"
"a5eec58c-f90c-4358-e270-22d191aab44b","The Brass Tap","2025-09-23T18:07:50.563Z"
"07adf480-139b-4b87-7d2e-836553d68d20","Oak & Vine","2025-07-23T02:47:48.635Z"
"8de6d2a9-07de-4b17-6a06-91d5aee912c4","Red Pepper Thai","2025-04-17T22:09:02.903Z"
"e43cbc31-12d4-45cd-c964-18c8d9a4376e","Harbor Grill","2025-11-18T01:26:39.169Z"
"5c5c698f-1a24-45c5-95da-2774b8a1da41","Sage & Thyme","2025-06-07T05:54:50.203Z"
"7d3932f7-d728-45a7-5abd-bb2df7656851","The Local Table","2026-02-02T06:50:39.468Z"
"b5cb61f1-6e55-4dbe-0c60-761953ca1813","The Brass Tap","2025-08-17T02:49:24.343Z"
"5c1b7b67-2fb7-4061-e29d-901d761f8e51","Harbor Grill","2026-03-29T12:10:56.048Z"
"92669435-c672-4fad-054e-f216f43989e8","City Kitchen","2025-08-06T01:25:58.926Z"
"9251b59a-a971-4eb5-025a-93001f6c6b89","Oak & Vine","2025-12-11T09:04:24.377Z"
"c2b3af5f-d099-4daa-59b8-1be33b233634","The Rustic Fork","2026-03-19T17:25:36.162Z"
"eb94a910-e65c-4204-de9f-46fe007c7102","Luna Restaurant","2026-01-25T05:52:21.634Z"
"21945910-b32f-4436-c20a-fdb23dca99ae","Sunrise Bistro","2025-11-20T21:10:10.869Z"
"a30a5cbb-cda9-4c14-e0e5-a9c1739bd940","The Local Table","2025-11-23T19:29:40.286Z"
"2b265f6e-a8ad-487b-14ea-4f5fa2c03771","Sunrise Bistro","2025-07-21T11:16:28.245Z"
"03a0fe2e-cdb6-46ba-aca9-03dd4b6b8495","Fresh & Co","2025-12-23T16:27:02.398Z"
"8c6ad547-056c-4ee7-a77f-dccd088c56f2","The Rustic Fork","2026-02-22T06:12:26.677Z"
"25084362-240b-4776-f96f-3e68971b47fd","Sage & Thyme","2025-10-28T21:40:10.393Z"
"d4854e69-25e3-4d63-496d-6c734c707514","Green Leaf Bistro","2025-06-04T15:36:30.084Z"
"7ae146ee-ee38-4c6e-99aa-d321a4ca2c11","Sage & Thyme","2025-07-20T20:25:50.830Z"
"3cb21f21-65b5-4271-cc93-468f449bebc2","Golden Plate","2025-08-28T21:25:08.746Z"
"345d5906-c8d9-48b4-2256-1fa10194eba0","The Brass Tap","2025-06-28T21:44:50.507Z"
"b906504a-0e67-43ee-2d60-cc90f53bb6a9","Corner Deli","2025-10-09T23:23:44.239Z"
"39f712a1-5aec-40f5-1248-6f2d212c87bb","The Rustic Fork","2026-02-20T16:36:39.554Z"
"a7cbe93d-ff6f-48a8-6513-03570c77fa0c","Oak & Vine","2025-08-20T23:59:37.384Z"
"4ed1f13d-3cc7-4297-0fae-625b0851dfed","The Rustic Fork","2025-07-22T13:34:27.100Z"
"343a952c-b575-4aea-5083-e731f9ecefd4","Stone Oven Bakery","2025-06-18T14:14:26.044Z"
"e6139c33-bb65-4fac-3c60-0321cfbe973f","Red Pepper Thai","2025-12-03T22:51:00.803Z"
"5e7208d6-5316-44ef-760f-3a2e2eb87a33","The Brass Tap","2025-04-11T00:55:16.981Z"
"956d195a-b2be-4cf4-5162-3b5e691d02c3","Oak & Vine","2025-08-04T22:46:44.792Z"
"e76cd8d0-b843-4605-7082-c83ca394af12","Red Pepper Thai","2025-08-25T17:55:19.789Z"
"58ff98fe-6ddb-49fe-df65-6f391b7ac689","The Local Table","2026-03-28T21:11:30.793Z"
"b80a5157-3454-4517-70b6-f7dfe0c29666","Fresh & Co","2025-10-20T16:56:07.786Z"
"b8773491-b7be-4948-8d2d-00845e37a436","Mountain View Cafe","2026-04-06T12:23:57.195Z"
"52ad35cd-9302-4add-2f21-068d072d2eeb","Harbor Grill","2025-08-20T04:45:02.597Z"
"57f898e4-88b9-4e87-1988-301ede7a4365","Red Pepper Thai","2026-03-02T21:50:11.489Z"
"9ed9f5a4-ec28-4f38-5e25-b0b2215955fc","Green Leaf Bistro","2025-10-21T16:21:23.033Z"
"2c914db5-870e-423f-bfdb-0aa99bfd374a","The Brass Tap","2025-12-09T15:16:14.408Z"
"0b462681-20b8-498a-4e53-2f250b065524","Firebird Pizza","2026-03-29T13:08:31.280Z"
"2edeb2e2-1bf5-4548-f1ee-b79e2fd49692","Red Pepper Thai","2025-09-27T18:39:36.937Z"
"f4b2d551-3151-4843-77e4-06af4f2f2b51","Luna Restaurant","2025-11-05T05:32:13.533Z"
"beaeb0c3-a86d-4f03-1db2-63dc774687a9","Mountain View Cafe","2026-03-21T14:16:38.004Z"
"f7ce4c12-65d0-44c3-f0a2-fa7fff9dc880","Firebird Pizza","2025-06-24T18:11:00.449Z"
"4226784e-1267-42d2-6686-2a3a6973533f","Sage & Thyme","2026-03-12T20:25:02.496Z"
"7e0b4f10-2967-4ae8-5706-ccaad9e40e43","Harbor Grill","2025-06-16T19:07:49.826Z"
"48a149f3-d9f9-4ced-1dfc-401f52d64fbf","Cloud Nine Cafe","2025-12-17T23:42:48.178Z"
"7f812ee5-6041-4b1c-1057-8acf32248881","Oak & Vine","2025-08-03T09:44:38.653Z"
"717729ea-6010-4a27-f12e-cb25ae58f16d","The Brass Tap","2025-09-06T00:21:39.777Z"
"e97142c4-49a3-4894-cc0c-0d276bcd3bb3","Red Pepper Thai","2025-06-20T06:05:16.208Z"
"543eb3bd-80bc-4f18-ce31-9cb583d9558b","Oak & Vine","2025-08-02T08:47:33.534Z"
"02c2a701-f842-4298-5b4a-59141a35f200","Firebird Pizza","2026-03-11T15:51:21.738Z"
"a58179de-e3c8-47a9-a39c-1cf2064ff8e2","Red Pepper Thai","2025-10-23T11:11:48.777Z"
"7133b800-76d9-4124-0084-b06243cfdee0","Maple Street Diner","2026-03-20T02:53:50.159Z"
"e661e8a6-efc1-4450-7dc0-c371cc613d72","Sage & Thyme","2025-08-01T20:04:48.418Z"
"82871fc0-97a3-46cc-b662-f834efc434db","Corner Deli","2025-05-17T01:54:50.914Z"
"8c637321-dbc8-493a-137f-396cfa0a42ca","Mountain View Cafe","2025-11-19T01:13:38.254Z"
"c9efe75e-d4a9-4259-2c7d-d936405496b8","Luna Restaurant","2025-09-07T00:19:50.920Z"
"7f8f88d5-ec55-47a3-de59-5d56f2c5a9e5","Sage & Thyme","2026-02-20T17:46:39.443Z"
"df09e25a-105e-4cd1-605b-1c913b377e95","City Kitchen","2026-03-25T13:14:26.260Z"
"21e07e84-4a3f-4f79-8249-98d7071dcd39","Green Leaf Bistro","2026-03-09T19:44:46.648Z"
"dc8394a6-d304-44b4-6890-8d6b0e38454a","Green Leaf Bistro","2025-11-25T04:36:30.939Z"
"3d46e05b-6ed8-45a8-1438-5bff86810be3","Corner Deli","2025-06-22T18:08:09.552Z"
"94c0c021-4278-4e31-3de8-a7986a431490","Corner Deli","2025-10-02T11:31:41.914Z"
"93ebef80-7c2c-444d-fac4-8ffda947e66b","Stone Oven Bakery","2025-09-11T01:07:51.166Z"
"ae254427-aa7c-4899-6c9e-87f6d393e6ca","Sage & Thyme","2026-03-15T05:47:01.387Z"
"f6408f8f-7814-4590-f74c-759af4f4c384","Firebird Pizza","2025-11-08T04:28:17.536Z"
"528d8b3e-5fa0-44cb-94f3-e021f048a4c0","Mountain View Cafe","2025-06-01T21:57:41.975Z"
"72c5917b-5136-4e5f-bef5-5edf8a9f5d8b","Blue Ocean Sushi","2025-05-15T18:23:13.861Z"
"c755c22d-3730-42fb-2392-272061f4a7a0","Fresh & Co","2025-04-16T04:57:45.849Z"
"2d46c3d5-8223-48ce-9193-fcfaa918b839","Sunrise Bistro","2026-03-15T06:11:06.985Z"
"73192c6c-464c-467b-4b51-e9893d76c18f","Fresh & Co","2025-09-23T21:59:39.364Z"
"929501d0-9de4-46cf-ef78-a229074ab157","Cloud Nine Cafe","2025-10-01T14:30:28.594Z"
"41985c56-29e2-4e92-47c1-545e692c5686","City Kitchen","2025-04-19T14:20:49.600Z"
"51dc5b8c-7db3-4ecd-c600-ebfdcb8f5557","Oak & Vine","2025-07-14T17:52:48.201Z"
"c96f3dd9-ec52-4638-8cad-ba933772349d","Harbor Grill","2026-03-24T03:35:15.167Z"
"4a3c182f-d6c6-4908-9120-5edbac839ebd","The Local Table","2025-12-19T17:45:53.545Z"
"be4ac718-4072-46f1-8e0d-002f14f8c0ff","Sage & Thyme","2026-03-25T00:11:40.482Z"
"418f768e-56e0-44e8-621f-04ac9916b256","Mountain View Cafe","2025-12-14T14:31:32.662Z"
"097b3341-528d-4d96-47fa-cacfa5e950fa","Fresh & Co","2026-04-03T14:40:50.677Z"
"a945711c-3b75-4ba1-ce60-201957d848a1","Firebird Pizza","2025-11-23T13:32:44.369Z"
"d6575eb9-8dd9-4fb2-c1b2-8e0e9c854531","Corner Deli","2025-11-10T04:15:32.927Z"
"a3d57e03-f005-48dd-02f7-d2f14c7e1e73","The Local Table","2025-10-24T15:48:36.292Z"
"0825554d-b288-472d-8713-f8c7225c66f9","Sage & Thyme","2025-05-27T18:37:58.920Z"
"5e606db6-4a8d-45bf-9795-bd2159a4c4bc","The Rustic Fork","2025-05-26T02:31:41.233Z"
"11e94ec3-3fa1-4223-29e2-c4c73bcd1387","Green Leaf Bistro","2026-01-20T14:10:45.974Z"
"ec8f7898-e786-4931-ecfb-804e09f59f23","The Local Table","2026-01-18T06:46:03.093Z"
"4dae8d05-f56c-475c-6c3f-956df7f47fd3","Sage & Thyme","2025-06-05T08:19:23.583Z"
"adc44e8b-df8a-488b-19be-3e6857232fd2","Corner Deli","2025-05-27T08:33:26.426Z"
"46555df5-f9e2-4289-8457-9f5a13ef64af","Red Pepper Thai","2025-05-14T14:41:04.160Z"
"4ca24a92-e99f-4b94-2ca7-3ed6215093dc","Harbor Grill","2025-11-09T20:50:30.732Z"
"9d5739d3-bb8b-4043-0d58-2ef1953640e6","Oak & Vine","2025-05-23T19:25:02.186Z"
"d8f6317c-105c-4d24-46b9-3b432fa5efab","The Rustic Fork","2025-05-10T13:27:10.152Z"
"44c584a9-5927-4ad9-ddbd-31777479f71d","Red Pepper Thai","2025-04-27T12:24:37.438Z"
"e539325c-634a-497c-eac6-d3f8101ec09d","The Local Table","2025-05-13T21:24:39.891Z"
"3aba0c47-cbb6-40d9-6bbb-2512d47d7274","Luna Restaurant","2025-12-31T13:22:55.704Z"
"a6643dc5-09ee-4b9b-53ba-1abf9e58247e","Oak & Vine","2025-05-28T19:39:57.188Z"
"ed782e1c-4f96-4a5d-d9c5-11882bd70e0d","Cloud Nine Cafe","2025-05-30T14:07:32.197Z"
"e48a10d3-b007-4780-45e4-adc9b3e9ed52","Sunrise Bistro","2026-02-21T06:26:21.530Z"
"09d676b4-f6eb-46f9-8ac2-9f6ac6feca9b","Oak & Vine","2026-03-22T05:28:46.414Z"
"1fd5e0c5-7118-4755-b2b5-e22a20542f44","Sunrise Bistro","2025-06-30T23:27:30.365Z"
"afaabf52-6ea5-4ecb-9657-2a40494400cf","Mountain View Cafe","2025-11-14T02:06:56.157Z"
"a46d9b9f-9695-4564-03bd-14f62caa60c6","Luna Restaurant","2025-08-15T00:43:24.804Z"
