id,treatment_id,cycle_number,created_at
"d5178453-68c1-4392-4ec6-d8206566b2e5","89a2dea6-1f16-4bc0-7f70-cfda17f7efba",322,"2025-07-13T20:24:12.256Z"
"d2b99558-8944-4b86-85ed-900c835f2bfb","661697c1-a785-414d-985b-c393edd59f9c",694,"2026-02-21T06:41:57.859Z"
"1bac0002-2798-4bc6-6ec1-4892c494df34","ab2f1cda-e2af-444a-ea81-89678a8ee584",587,"2025-08-24T01:36:51.984Z"
"e7fae79c-5ace-4854-0e6a-01d602be1eb8","2d42ef66-33c4-43d5-0576-99028d87299d",359,"2025-08-10T09:25:19.512Z"
"adf5c913-4199-4d50-c76f-eba9746b06cb","c04c4a8d-92c0-454d-243d-7661563c2d33",569,"2025-04-10T08:27:25.576Z"
"eaba15e0-ad3a-4117-520c-8fc921aa164d","8a8fe032-6b13-4b48-59de-ebb4286871c7",916,"2025-10-29T03:57:25.193Z"
"e701b212-bb7f-4deb-8da0-9a0eddbcb9c1","979c9da6-0852-4ded-0066-15f683dde4ec",933,"2025-11-25T00:30:48.983Z"
"403f8576-bf2a-4300-a39c-7327e3701ae6","89a2dea6-1f16-4bc0-7f70-cfda17f7efba",806,"2025-07-12T08:15:15.903Z"
"ffb68e4f-082c-4ab5-ac0d-330dfb23a525","e901bb32-5ee6-401a-e7fe-e60462322940",182,"2025-10-26T03:48:39.023Z"
"4eadc547-ed80-4c5c-0d1e-891e88c2e9a0","ab2f1cda-e2af-444a-ea81-89678a8ee584",975,"2025-08-26T13:47:10.093Z"
"d1e719c9-2633-4710-1176-b9e3338c2cb5","b81cba5c-c08e-4707-9737-cba7366628d6",104,"2026-04-03T17:14:29.000Z"
"9a28a4fd-1c6a-44cc-73f6-0b47e346c4e7","5a4e9ba1-4bd7-466e-af1f-97f4cc75df52",537,"2025-07-11T04:34:59.624Z"
"8d3ea9b3-4a60-4be8-c019-4f6bb3c15889","35bcabbc-4ddf-4645-e3e7-6dfc90fd802a",436,"2026-02-16T06:08:46.793Z"
"a848baa6-6dc4-4ded-c523-3322f3256f9e","2985893a-2044-4298-ead4-2bf5d7d14697",213,"2025-05-23T14:06:46.673Z"
"0556f1d8-6ae8-42c4-1042-83436c116368","28666ab6-1946-4a60-6fde-39abbdff7144",451,"2025-10-23T13:58:05.415Z"
"ee0610e3-d953-43a5-8356-22b5b819fcbb","2d42ef66-33c4-43d5-0576-99028d87299d",435,"2025-07-20T05:05:37.151Z"
"8986d742-2e32-416a-db3e-01be435ff20f","979c9da6-0852-4ded-0066-15f683dde4ec",644,"2025-08-19T12:17:02.717Z"
"f9d44294-c75f-470d-9bfb-e09d2438f0ed","979c9da6-0852-4ded-0066-15f683dde4ec",700,"2025-09-21T20:35:48.104Z"
"56e127db-c5a3-4c7f-0397-6c6b62d21d05","23f3000c-8ba3-484a-7bba-39cd0e0a7c5e",477,"2025-09-10T04:56:32.828Z"
"2186ab16-f333-49d6-25fa-eef0c7d2e294","ab2f1cda-e2af-444a-ea81-89678a8ee584",760,"2026-03-01T17:10:34.904Z"
"180fb512-d0d7-450f-7fb0-6ab652dea0a6","0c9c5845-7a9a-4e63-e29b-3066dbf13f2b",820,"2025-07-24T19:17:54.662Z"
"dcfd01ec-1274-4d02-5bdd-de368709b802","661697c1-a785-414d-985b-c393edd59f9c",473,"2025-05-30T14:59:06.284Z"
"66fa9324-8cfe-48d7-69c4-7829ebf17e3a","8ed90d82-111e-4508-175c-979e933307d7",472,"2025-08-15T13:48:35.562Z"
"ef10c432-ba92-447a-b7f3-2407e9d3f917","0cfb734f-9a93-420c-d66c-41479a55d887",457,"2025-10-27T00:35:05.432Z"
"243f8d7d-3cd4-42c8-b144-3c2b98a1d71b","ab2f1cda-e2af-444a-ea81-89678a8ee584",139,"2025-05-24T08:38:33.277Z"
"becc083e-86f8-4356-a968-099dcff4951e","a1b68fe6-7432-439d-5f2d-d109bcfcfed4",50,"2025-09-15T13:16:24.546Z"
"2ff908a4-1190-44a8-18bf-91d6497b71eb","b08cb24b-d54d-441d-6b53-d6a1454f6437",929,"2025-08-28T13:17:44.584Z"
"b2665450-ab5a-4c5a-eb73-d4562951a129","a0a5f459-ff69-4173-41eb-d5ea77c4a5d0",805,"2026-02-21T08:52:25.736Z"
"ddcdbbff-0141-4f4e-b69d-0316b563f2cf","e883c774-eeea-4410-f486-ddedc24d343a",625,"2025-10-19T17:30:50.182Z"
"e9de033b-7b21-44ef-6396-fbe683df4418","c4065368-41a7-4d06-2652-2722394f4649",779,"2026-02-17T23:49:39.893Z"
"20e74217-5f44-41f3-3314-3053e5917055","5a4e9ba1-4bd7-466e-af1f-97f4cc75df52",378,"2025-05-20T23:24:48.494Z"
"65974676-5415-4293-fd9b-cabb6e26ba76","f2eb8523-38be-43d4-0537-8324bc9aa47a",206,"2026-03-12T23:43:43.576Z"
"c11942f0-9586-4a7f-9fa3-85d2dd600f49","28666ab6-1946-4a60-6fde-39abbdff7144",436,"2025-07-28T09:29:33.016Z"
"69df2777-2909-4f08-7a90-14af98aa90ea","e32ccb3a-c3c3-450f-e78b-84e69f4cad32",606,"2025-11-14T16:54:33.332Z"
"deb8d1a0-e435-4fcc-3f52-4ee35aaac0cb","706c0ab0-80cc-43da-892c-9e61fbb761ee",279,"2025-08-28T12:47:27.148Z"
"dc03aa46-23ff-47a3-593e-b8aa72b66ab5","fd67f815-e732-437d-3758-826b1acaa69f",427,"2026-03-13T08:44:06.811Z"
"965c9fa6-d1f6-4f75-ffc3-d0caad754540","a0a5f459-ff69-4173-41eb-d5ea77c4a5d0",344,"2025-11-19T23:03:12.604Z"
"2b767559-602a-4594-1a01-1a3d0247c367","a1b68fe6-7432-439d-5f2d-d109bcfcfed4",88,"2025-11-19T13:01:51.179Z"
"ab71a3e1-5e8b-4294-2b4e-20a834b832e0","0fb4304d-0389-4c8a-7138-371ae696676a",112,"2026-01-06T08:25:15.002Z"
"754069e4-646c-42a8-523d-3ca82ccebfde","2985893a-2044-4298-ead4-2bf5d7d14697",140,"2026-02-03T06:08:12.121Z"
"5900db69-d181-45f0-e9da-a5038536a5bf","c2f50340-b123-4ea1-e080-715846954e05",771,"2025-11-12T00:55:35.483Z"
"bcc68f84-8f94-45ca-bab9-4619e6d70c34","28666ab6-1946-4a60-6fde-39abbdff7144",92,"2025-11-09T03:33:50.552Z"
