id,site_name,created_at,_anomaly_label
"687efed3-721e-4777-1e19-7d7e703c029e","Luna Restaurant","2025-12-30T15:02:54.488Z","normal"
"abd195be-81d2-4fac-1fd1-44c9ed8ce553","Golden Plate","2025-06-30T15:28:15.404Z","normal"
"d2c53afc-1446-4b26-de5d-f00fcc5fabc8","Maple Street Diner","2025-07-11T18:14:36.802Z","normal"
"dfd15422-6aeb-4c67-2d85-60534fa0e93d","City Kitchen","2025-09-08T12:12:58.716Z","normal"
"784dba15-615a-406d-6a15-33ab95b6b9ff","Mountain View Cafe","2026-01-18T07:05:43.478Z","normal"
"88286dd7-df4e-4012-5a9b-ad7fc3eb9eaf","Fresh & Co","2025-10-02T18:55:05.028Z","normal"
"0107c445-0805-4c07-8735-fae1de194660","Harbor Grill","2025-06-29T21:44:55.367Z","normal"
"991a70ce-a7df-4bbb-2480-b6da4d7a7b5b","Blue Ocean Sushi","2025-05-25T18:23:31.913Z","normal"
"fb086ec6-fa56-4767-5b1e-8dc5b8ecacab","Sage & Thyme","2025-08-12T15:55:46.773Z","normal"
"e2aa347d-aa8c-4563-5322-06935ac7b321","Oak & Vine","2025-10-29T00:11:49.641Z","normal"
"96158e34-45f4-4cf8-2add-fc2acadd73e6","Oak & Vine","2025-10-28T01:52:30.677Z","normal"
"bf82a36f-565c-4c27-3d64-7dd6b251e99e","The Local Table","2026-01-13T05:39:44.722Z","normal"
"d63c15e9-c436-4f6a-ef63-4ddefb939234","Oak & Vine","2025-04-15T09:59:22.816Z","normal"
"d0772d12-5a0e-49a0-a2ce-dc8b71e2f25d","Red Pepper Thai","2025-04-23T23:45:44.197Z","normal"
"3153eb0c-28e1-4bd8-afa9-477a740d7262","Red Pepper Thai","2025-11-21T02:24:57.604Z","normal"
"92fae2c8-068a-4d53-db1b-6780d46e8eb0","Red Pepper Thai","2025-06-28T21:21:24.292Z","normal"
"cda401ad-80ca-478e-1be3-315ded790df6","Firebird Pizza","2025-09-21T18:38:41.095Z","normal"
"768f033e-c6cd-43c3-393c-c9674a5580fb","Oak & Vine","2025-04-11T03:37:54.631Z","normal"
"46156003-305f-420e-f176-bce0ba130ad0","Corner Deli","2025-08-28T18:30:13.087Z","normal"
"11bd49a1-00bd-4c57-29a1-2634280a8e7c","Red Pepper Thai","2026-03-18T01:45:31.169Z","normal"
"c145eb5b-217a-4808-e452-762a3023e498","Cloud Nine Cafe","2025-12-11T23:35:46.945Z","normal"
"2db1590f-6c14-4a2a-1666-106c715d7000","Oak & Vine","2025-08-01T14:45:33.407Z","normal"
"3f2ef81c-c4af-463d-f563-f7146d427422","Stone Oven Bakery","2025-11-24T22:28:51.236Z","normal"
"99d91b06-415f-41f1-8b75-113bd4046034","Blue Ocean Sushi","2026-02-24T21:05:44.336Z","normal"
"48abc780-da5b-4d50-df83-0568ae391ccf","City Kitchen","2025-10-10T09:49:30.456Z","normal"
"ba5b63a6-7185-4771-d79d-d7ca22f1352b","The Brass Tap","2026-01-14T22:21:43.902Z","normal"
"393419ac-f7f2-4ebd-9ed1-0d37f0cd1903","The Brass Tap","2025-04-28T00:45:16.614Z","normal"
"d8d77a22-b5be-4ab4-03db-10e0fc28c071","Firebird Pizza","2025-05-08T17:06:17.045Z","normal"
"a44efb65-61f9-40aa-2132-ce2c922f6037","Red Pepper Thai","2025-10-06T00:34:52.719Z","normal"
"6cc41041-8069-487f-0447-cc3dcebb5af6","Mountain View Cafe","2026-02-20T01:12:22.218Z","normal"
"fab4cb5a-2f50-4644-c0d3-1fdd92cfd980","Firebird Pizza","2026-01-25T18:46:05.789Z","normal"
"2de55d15-6d76-4211-8cbd-df8fb4d28b41","Sage & Thyme","2025-07-02T02:16:00.765Z","normal"
"785f628b-b040-40eb-37b6-e5ef7df41a57","Red Pepper Thai","2025-09-09T02:52:13.888Z","normal"
"f30f9981-dc6c-42ad-09aa-2116cbe2429a","Corner Deli","2025-08-28T01:44:43.942Z","normal"
"2a0db564-3199-4558-55e7-d045f8ecfe91","Harbor Grill","2028-04-09T12:28:20.296Z","timestamp_anomaly"
"399b9ca7-71a7-44b2-02ec-f2db722ca755","Golden Plate","2025-08-23T10:49:21.092Z","normal"
"5c9cc85c-133e-4fe2-1bf1-d0717a8e3472","Mountain View Cafe","2026-01-20T09:37:31.432Z","normal"
"09e91803-5dea-4241-fc80-25eeec01f077","Sunrise Bistro","2025-06-22T03:12:55.907Z","normal"
"e2f9c12f-4119-4322-7d72-093af40100c9","The Local Table","2028-04-09T12:28:20.296Z","timestamp_anomaly"
"8e4db643-06b8-46d5-7638-5edee5b0a748","Red Pepper Thai","2026-03-15T21:44:46.588Z","normal"
"413f4815-bf6b-428e-8892-b7feb33b7408","City Kitchen","2025-04-12T07:22:41.137Z","normal"
"303a2c24-dfcf-4dfb-f4dc-2f1edb199899","Sunrise Bistro","2026-04-04T05:07:58.826Z","normal"
"5cd56b3b-fe6c-45a7-6557-d62786c050ec","The Rustic Fork","2026-03-01T09:23:23.511Z","normal"
"6a9b4a67-531c-4d0a-fa01-8cf140da3818","Sunrise Bistro","2025-10-15T18:40:24.841Z","normal"
"8685c777-6f2a-44ba-38c0-656d6a3b8505","Oak & Vine","2025-04-30T09:55:32.916Z","normal"
"0c7e1e9f-5e1a-4020-456a-1b6f254aad4c","Oak & Vine","2025-05-10T13:58:56.588Z","normal"
"3e3e8dda-2111-4ea1-244c-244f6ec8f449","Oak & Vine","2025-07-27T21:49:17.427Z","normal"
"5fdd9e3d-2229-4998-22e1-a4ba9d80deb8","Cloud Nine Cafe","2025-11-12T10:02:11.491Z","normal"
"1d8cc074-bd44-4ede-df96-e718f3f47670","Maple Street Diner","2025-12-11T02:16:09.695Z","normal"
