id,site_id,created_at,_anomaly_label
"e6335ac9-1553-4587-d382-bd283ea75ee6","420e119a-1388-492a-32b8-218461d22522","2025-10-06T01:54:38.617Z","normal"
"8c333864-c0f2-409e-a5c3-8481039cc5b3","ed965d62-b640-4037-7de5-2bd726302750","2025-12-23T03:44:43.907Z","normal"
"59f604de-1c77-4f19-3d7f-a5c56c2ecc22","d2cd09c0-ea3b-437b-bea6-1dffc168db77","2026-01-11T17:33:57.975Z","normal"
"ffef9633-62df-4d56-4f12-73d0de12ad37","f0cf1293-58bf-4bf0-494c-6c3e6a833907","2025-04-23T05:20:39.435Z","normal"
"bbc86220-3aad-4304-5cb0-7087633cf5db","30ebe130-d346-481e-aa1f-8f8a052f97aa","2026-01-21T12:14:23.662Z","normal"
"e0e38019-abb8-4ed3-df12-2a95138217b9","6821f1c0-aebc-4718-35c5-ccdaafc2d999","2025-10-12T05:55:11.014Z","normal"
"5c9f2f9a-a9b4-4e4c-accd-d1331a92dfb7","372b4cf7-9a76-437e-0198-968306ce5ca3","2025-11-17T04:26:39.324Z","normal"
"2acef4b2-3504-468b-a879-c0d6547b36a3","96c0982b-4121-4d19-c78d-24c78ff72b85","2026-03-02T12:12:08.089Z","normal"
"f66a321c-6b2c-4637-56e9-707487f1c47c","4d9596de-215e-4b2c-a737-ecb6e6459c40","2025-09-25T21:15:58.678Z","normal"
"043cc342-71d1-405e-915a-27fcd9f3f204","8e9d5a33-5784-47d6-6188-0c82a4c1eae4","2025-07-10T15:18:37.914Z","normal"
"f2c866b6-7936-41ab-ba9f-0cbb2083e4a4","99edc027-17c9-44b5-75b2-60d5d0850c45","2025-10-02T09:18:40.953Z","normal"
"cad82169-d066-4dcd-64d8-cd438972dc73","79a6db1a-b813-4d3e-b448-1962f5e66f52","2025-08-20T10:21:38.438Z","normal"
"a28c7b81-80d0-4894-4d80-78d73a5710ad","deee824b-484e-480f-7849-4dc37d6d9eee","2025-11-01T13:31:44.473Z","normal"
"bbd03265-717f-4b7f-4097-b3172965be24","e4d15fab-e728-4609-2c1f-efc62df63299","2026-01-21T14:57:03.843Z","normal"
"1c98edc3-07a5-4d0c-5b9c-dcc903ada560","f7481db1-126b-4c73-d440-8274ead22f60",,"null_injection"
"d248283b-fc8d-484f-dfb5-bc9de1a2293e","4e4d0d0f-9829-46d4-1205-634eeeb7f4f2","2025-08-29T14:55:57.766Z","normal"
"661a58bf-7a75-42e5-5e1e-67413233b258","cd5314b4-a5bb-41f0-6660-c4fee4deb77c","2025-10-20T04:30:37.358Z","normal"
"861ca51f-3949-41d2-7031-eacc124bebf7","286695c1-0b73-46d6-c66a-0f8b29f0c2ad","2026-01-31T13:29:55.610Z","normal"
"eb807d22-82b1-4ebb-9864-e836724a6ff0","ef8eca56-c961-4834-bbe2-30bb96143873","2025-11-14T14:05:08.184Z","normal"
"29594e28-3d45-4227-b4f7-363e0c03bfb0","967f55e3-8b5a-4070-edab-af3671e864b3","2025-07-23T19:55:50.940Z","normal"
"0441eaa3-611a-4624-d37d-e62fd68e2d57","2528a411-0459-4603-5c0f-c8d8852b72dc","2025-07-02T00:45:21.480Z","normal"
"798cf435-a07f-48e5-1e4b-e5fd143e6ca3","4a676ebc-0dc6-4036-a4c0-0e051d064f33","2026-02-16T02:50:23.501Z","normal"
"fd917fc3-e308-4205-1caf-d0a439a00d59","d9b5c3eb-22fa-4dd6-c650-b01b84be5960","2026-01-03T17:24:30.703Z","normal"
"85263a75-0874-41a3-f853-4febff97fdb8","82a0b0cb-c3c1-464b-fda8-5d74a9f1a65f","2025-09-29T07:46:17.900Z","normal"
"4b799280-c2dd-4d0f-8386-c5a37cd9ffb1","f05f0fd6-d7b9-46ce-437a-7c3c33b42ff6","2025-10-15T21:17:19.786Z","normal"
"eb8be67d-e8b5-4122-f32f-14559a12ac87","139ac066-2f3c-4a88-c3d1-e0080ca4f0b9","2026-02-05T08:02:40.500Z","normal"
"a7c6346d-3739-4ba1-d09a-c86cd392b2cb","54ba0524-8c01-4f94-458f-1c13da9eec55","2025-06-08T18:39:38.245Z","normal"
